das-danatunaiku.mcf.co.id	192.168.5.139
macf-sync.mcf.co.id	192.168.3.94
newzoom.maf.co.id	192.168.3.85
appapi.mcf.co.id	192.168.3.85
newzoom.mcf.co.id	192.168.3.85
erelay-in.mcf.co.id	192.168.3.64
zsmtp-in1.mcf.co.id	192.168.3.63
zsmtp-out1.mcf.co.id	192.168.3.59
zmta4.mcf.co.id	192.168.3.58
zmta3.mcf.co.id	192.168.3.57
zmta2.mcf.co.id	192.168.3.56
zimbra.maf.co.id	192.168.3.55
zimbra.mcf.co.id	192.168.3.55
zmta1.mcf.co.id	192.168.3.55
zmbox3.mcf.co.id	192.168.3.54
zmbox2.mcf.co.id	192.168.3.53
zmbox1.mcf.co.id	192.168.3.52
zldap2.mcf.co.id	192.168.3.51
zldap1.mcf.co.id	192.168.3.50
po.maf.co.id	192.168.3.5
MACFTO.mcf.co.id	192.168.3.5
recruitmenttracker.mcf.co.id	192.168.3.45
mtabc.maf.co.id	192.168.3.25
mtabc.mcf.co.id	192.168.3.25
cctv.mcf.co.id	192.168.3.200
nms.mcf.co.id	192.168.3.200
macf-onlinepay.mcf.co.id	192.168.3.19
git-uat.mcf.co.id	192.168.3.152
git.mcf.co.id	192.168.3.151
ns2-survey.maf.co.id	192.168.3.100
dukcapil-uat.mcf.co.id	192.168.3.100
macf-das.mcf.co.id	192.168.3.100
ns2-survey.mcf.co.id	192.168.3.100
uat-api-fincore.mcf.co.id	172.6.96.49
uat-api-fincore-r4.mcf.co.id	172.6.96.49
uat-api-fincoremon.mcf.co.id	172.6.96.49
uat-api-slikcheck.mcf.co.id	172.6.96.49
e-procurement-uat.mcf.co.id	172.16.96.7
m-fincore-pilot.maf.co.id	172.16.96.49
namecard.maf.co.id	172.16.96.49
m-fincore-pilot.mcf.co.id	172.16.96.49
namecard.mcf.co.id	172.16.96.49
rsa.mcf.co.id	172.16.96.49
btk-api-fincore.mcf.co.id	172.16.96.49
encrypt-decrypt.mcf.co.id	172.16.96.49
fincore-r4-uat.mcf.co.id	172.16.96.49
fincore-uat.mcf.co.id	172.16.96.49
prd-api-fincore.mcf.co.id	172.16.96.49
kanboard.mcf.co.id	172.16.96.44
uat-api-kredicash.mcf.co.id	172.16.96.43
uatapi.mcf.co.id	172.16.96.182
dccldbcore1.mcf.co.id	172.16.95.92
m-survey-app.maf.co.id	172.16.95.72
fincore-app.maf.co.id	172.16.95.55
fincore-app-r2.maf.co.id	172.16.95.55
fincore-app-r4.maf.co.id	172.16.95.55
wrs-app.maf.co.id	172.16.95.55
efin-app.maf.co.id	172.16.95.20
sysnet-app.maf.co.id	172.16.95.20
Senas.mcf.co.id	172.16.161.60
m-survey-app.mcf.co.id	172.16.100.72
fincore-app.mcf.co.id	172.16.100.55
fincore-app-r2.mcf.co.id	172.16.100.55
fincore-app-r4.mcf.co.id	172.16.100.55
wrs-app.mcf.co.id	172.16.100.55
m-survey.mcf.co.id	172.16.100.31
zammad.mcf.co.id	172.16.100.31
socialnetwork.mcf.co.id	172.16.100.252
monitoring.maf.co.id	172.16.100.250
monitoring.mcf.co.id	172.16.100.250
change-request.mcf.co.id	172.16.100.244
fincore.maf.co.id	172.16.100.242
fincore.mcf.co.id	172.16.100.242
fincore-r4.mcf.co.id	172.16.100.242
jaegercloud.mcf.co.id	172.16.100.242
ess.mcf.co.id	172.16.100.23
fincore-apuppt.mcf.co.id	172.16.100.211
fincore-stg-r4.maf.co.id	172.16.100.20
efin-app.mcf.co.id	172.16.100.20
fincore-stg-r4.mcf.co.id	172.16.100.20
sysnet-app.mcf.co.id	172.16.100.20
fincore-stg.mcf.co.id	172.16.100.20
hawkeye.mcf.co.id	172.16.100.20
jaeger.mcf.co.id	172.16.100.20
kebijakan.mcf.co.id	172.16.100.178
mobile.maf.co.id	10.90.8.7
minio-dashboard.maf.co.id	10.90.8.7
konga-mobile.mcf.co.id	10.90.8.7
minio-dashboard.mcf.co.id	10.90.8.7
mobile.mcf.co.id	10.90.8.7
rabbitmq-dashboard.mcf.co.id	10.90.8.7
api-gkmsetor.mcf.co.id	10.90.7.4
cld-api-doku.mcf.co.id	10.90.7.4
cld-payment-gkm.mcf.co.id	10.90.7.4
cldapi.mcf.co.id	10.90.7.3
exa.mcf.co.id	10.90.7.3
m-survey-cld.mcf.co.id	10.90.7.3
m-survey-dr.mcf.co.id	10.90.7.3
m-survey-r4.mcf.co.id	10.90.7.3
m-survey-r4-dr.mcf.co.id	10.90.7.3
webapi-newzoom-r2-drc.mcf.co.id	10.90.7.3
exa-pilot.mcf.co.id	10.90.7.3
api-r4-fincore.maf.co.id	10.90.7.2
collection-app.maf.co.id	10.90.7.2
dukcapil-app.maf.co.id	10.90.7.2
falcon.maf.co.id	10.90.7.2
api-kredicash.mcf.co.id	10.90.7.2
api-r4-fincore.mcf.co.id	10.90.7.2
cldapi-linux.mcf.co.id	10.90.7.2
collection-app.mcf.co.id	10.90.7.2
dukcapil.mcf.co.id	10.90.7.2
dukcapil-app.mcf.co.id	10.90.7.2
falcon.mcf.co.id	10.90.7.2
mrp.mcf.co.id	10.90.7.2
notif-kreduit.mcf.co.id	10.90.7.2
snap-bca.mcf.co.id	10.90.7.2
